KPGZ,with_KPGZ,count
01.02.10.43.03.10,01.02.10.43.03.10,48
01.20.05.03.04.01,01.20.05.03.04.02,1048
03.31.03.04,03.31.03.04,137
01.03.03.02,01.03.03.02,108
01.11.02.05.02,01.11.02.01.01,16
01.10.01.01.01,01.10.01.01.02,170
01.02.10.43.09,01.02.10.42.04,8
01.02.10.43.09,01.02.10.43.08,16
01.02.10.42.04,01.02.10.43.08,1
01.15.05.04.04,01.15.04.02.01,427
01.15.05.04.04,01.15.01.01.01.03,112
01.15.05.04.04,01.15.01.01.01.02,1017
01.15.05.04.04,01.15.01.02.01.01,1310
01.15.05.04.04,01.15.07.02,151
01.15.05.04.04,01.15.01.04.06,794
01.15.04.02.01,01.15.01.01.01.03,15
01.15.04.02.01,01.15.01.01.01.02,178
01.15.04.02.01,01.15.01.02.01.01,343
01.15.04.02.01,01.15.07.02,38
01.15.01.01.01.03,01.15.01.01.01.02,322
01.15.01.01.01.03,01.15.01.02.01.01,104
01.17.07,01.17.07,2398
01.03.01.01,01.03.01.02,4
01.03.01.01,01.03.02.11,23
01.03.01.01,01.03.01.07,4
01.03.01.02,01.03.02.11,2
01.03.01.02,01.03.01.07,4
01.08.01.13.01,01.15.04.01.09,1
01.08.01.13.01,01.02.10.43.09,1
01.08.01.13.01,01.13.17.99,1
01.15.04.01.09,01.02.10.43.09,1
01.20.07.11.03.01.02,01.20.04.04.01,913
01.15.05.04.04,01.15.05.04.04,1399
01.01.13.03.03,01.01.13.02.01,3
01.01.13.03.03,01.01.13.02.02,6
01.01.13.03.03,01.01.13.03.03,17
01.01.13.03.03,01.01.13.03.04,9
01.01.13.03.03,01.01.13.01.03,5
01.01.13.03.03,01.01.10.03.02,4
01.01.13.02.01,01.01.13.02.02,12
01.01.13.02.01,01.01.13.02.01,6
01.01.13.02.01,01.01.13.03.03,6
01.01.13.02.01,01.01.13.03.04,2
01.01.13.02.01,01.01.13.01.03,1
01.01.13.02.02,01.01.13.02.01,3
01.01.13.02.02,01.01.13.02.02,4
01.01.13.02.02,01.01.13.03.03,8
01.01.13.02.02,01.01.13.03.04,6
01.20.04.07.02,01.20.04.02.12,59
01.16.03.01.01,01.16.01.02,100
01.20.04.02.12,01.20.07.11.03.01.02,952
01.20.04.02.12,01.20.04.04.01,352
01.20.04.02.12,01.20.04.02.13,386
01.20.04.02.12,01.20.05.03.04.01,542
01.20.04.02.12,01.20.03.04.01.02,701
01.20.04.02.12,01.20.04.02.10,250
01.20.05.03.04.02,01.20.04.04.01,371
01.20.05.03.04.02,01.20.04.02.12,408
01.20.07.11.03.01.02,01.20.04.02.12,1053
01.02.10.32.08.25,01.02.10.43.09,2
01.02.10.54.16,01.02.10.54.16,153
01.15.05.18,01.15.04.01.01,2168
01.15.05.18,01.15.05.04.06.01,493
01.15.05.18,01.15.03.17.05,2200
01.15.05.18,01.15.03.16,1165
01.15.05.18,01.15.01.07,1098
01.15.05.18,01.15.01.02.01.01,489
01.15.05.18,01.15.04.06,145
01.15.05.18,01.15.05.02.01,794
01.15.04.01.01,01.15.05.04.06.01,2060
01.15.04.01.01,01.15.03.17.05,10014
01.15.04.01.01,01.15.01.02.01.01,920
01.15.04.01.01,01.15.04.06,406
01.15.05.04.06.01,01.15.03.17.05,4001
01.15.05.04.06.01,01.15.03.16,2006
01.15.05.04.06.01,01.15.01.07,1921
01.15.05.04.06.01,01.15.01.02.01.01,333
01.15.03.17.05,01.15.03.16,5936
01.15.03.17.05,01.15.01.07,3047
01.15.03.17.05,01.15.01.02.01.01,804
01.15.03.16,01.15.01.07,1401
01.10.01.02.01,01.10.01.02.01,439
01.19.10.17.01,01.19.10.17.01,328
01.20.07.11.08,01.20.07.11.08,1783
01.02.10.06.19.05,01.02.10.06.19.05,78
01.13.13.01.01,01.13.13.01.03,102
01.13.13.01.01,01.13.13.01.01,98657
01.13.13.01.03,01.13.13.01.03,2
01.15.05.04.06.03,01.15.05.04.05.01,340
01.15.05.04.06.03,01.15.05.04.06.03,1812
01.15.05.04.06.03,01.15.05.04.03.01,831
01.15.05.04.06.03,01.15.05.04.08.01,453
01.15.05.04.06.03,01.15.05.04.06.02,1121
01.15.05.04.06.03,01.15.04.01.01,2503
01.15.05.04.05.01,01.15.05.04.06.03,515
01.15.05.04.05.01,01.15.05.04.03.01,336
01.15.05.04.05.01,01.15.05.04.08.01,149
01.15.05.04.05.01,01.15.05.04.06.02,488
01.15.05.04.03.01,01.15.05.04.08.01,312
01.24.03.01,01.24.03.01,515
01.15.01.01.01.01,01.15.04.06,25
01.20.06.04.01,01.20.03.04.05.01,111
01.20.04.01.04,01.20.03.04.05.02,725
01.20.04.01.04,01.20.07.11.03.01.02,672
01.10.05.02.04,01.10.05.02.04,1019
03.08.03.01.02.99,03.08.03.01.02.02,11
01.16.03.01.01,01.16.05.01.01.01,456
01.16.03.01.01,01.16.04.01,166
01.20.07.11.03.01.02,01.20.05.03.04.02,682
01.20.03.04.05.02,01.20.05.03.04.02,560
01.20.04.01.10,01.20.04.09.01,57
01.20.04.01.10,01.20.04.02.12,251
01.03.01.07,01.03.01.07,283
01.20.07.11.03.01.02,01.20.04.06.01.01,595
01.20.04.01.13,01.20.04.06.01.01,589
01.15.04.03.04,01.15.04.03.04,23
01.15.04.03.04,01.15.05.04.03.01,200
01.15.04.03.04,01.15.04.01.01,637
01.15.04.03.04,01.15.04.02.04,369
01.15.04.03.04,01.15.04.03.01,127
01.15.04.03.04,01.15.04.03.03,111
01.15.04.03.04,01.15.05.04.02,93
01.15.04.03.04,01.15.05.10,78
01.15.04.03.04,01.15.05.04.05.01,50
01.15.04.03.04,01.15.04.07,93
01.15.04.03.04,01.15.05.04.04,170
01.15.04.03.04,01.15.05.01.06.01,89
01.15.05.04.03.01,01.15.04.01.01,2648
01.15.05.04.03.01,01.15.04.02.04,1862
01.15.05.04.03.01,01.15.04.03.01,400
01.15.05.04.03.01,01.15.04.03.03,126
01.15.05.04.03.01,01.15.05.04.03.01,702
01.15.05.04.03.01,01.15.05.04.02,528
01.15.05.04.03.01,01.15.05.10,350
01.15.05.04.03.01,01.15.05.04.05.01,259
01.15.05.04.03.01,01.15.04.07,405
01.15.05.04.03.01,01.15.05.04.04,810
01.15.04.01.01,01.15.04.03.03,568
01.15.04.01.01,01.15.05.04.03.01,2773
01.15.04.01.01,01.15.05.04.02,1733
01.15.04.01.01,01.15.05.04.05.01,868
01.15.04.01.01,01.15.04.07,1313
01.15.04.02.04,01.15.04.02.04,5779
01.15.04.02.04,01.15.04.03.01,1100
01.15.04.02.04,01.15.04.03.03,274
01.15.04.02.04,01.15.05.04.03.01,1710
01.15.04.02.04,01.15.05.04.02,1203
01.15.04.02.04,01.15.05.04.05.01,633
01.15.04.02.04,01.15.04.07,843
01.15.04.03.01,01.15.04.03.03,132
01.15.04.03.01,01.15.05.04.03.01,1100
01.15.04.03.01,01.15.05.04.02,570
01.15.04.03.01,01.15.05.04.05.01,333
01.15.04.03.01,01.15.04.07,736
01.15.04.03.03,01.15.05.04.03.01,174
01.15.04.03.03,01.15.05.04.02,72
01.15.04.03.03,01.15.05.10,38
01.15.04.03.03,01.15.04.01.01,462
01.15.04.03.03,01.15.05.04.05.01,46
01.15.05.04.02,01.15.05.10,264
01.13.06.99,01.13.13.04.01,36
01.13.06.99,01.13.17.99,364
01.15.01.01.01.01,01.15.01.01.01.01,347
01.15.01.01.01.01,01.15.01.01.01.03,84
01.01.06.01.10,01.01.06.01.10,97
01.02.05.26.36,01.02.05.26.36,3
01.11.03.01.02.02.99,01.11.07.08,187
01.10.04.04.01,01.11.01.08.02.99,83
01.10.04.04.01,01.10.03.04,20
01.11.01.08.02.99,01.10.03.04,95
01.20.03.04.05.02,01.20.04.04.01,754
01.20.03.04.05.02,01.20.04.09.01,214
01.20.03.04.05.02,01.20.07.02.02,458
01.20.03.04.05.02,01.20.07.11.08,193
01.20.03.04.05.02,01.20.99.05.02,330
01.20.03.04.05.02,01.20.05.01.05.01.01,33
01.20.03.04.05.02,01.02.10.44.01,21
01.20.04.04.01,01.20.04.09.01,118
01.20.04.04.01,01.20.07.02.02,131
01.20.04.04.01,01.20.07.11.08,135
01.20.04.04.01,01.20.99.05.02,108
01.20.04.04.01,01.20.03.04.05.01,321
01.20.04.04.01,01.20.05.01.05.01.01,9
01.20.04.04.01,01.20.03.04.05.02,892
01.20.04.04.01,01.20.04.01.04,299
01.20.04.09.01,01.20.07.02.02,35
01.20.04.09.01,01.20.07.11.08,54
01.20.04.09.01,01.20.99.05.02,35
01.20.04.09.01,01.20.03.04.05.01,123
01.20.04.09.01,01.20.05.01.05.01.01,6
01.20.04.09.01,01.20.03.04.05.02,291
01.20.07.02.02,01.20.07.11.08,84
01.20.07.02.02,01.20.99.05.02,135
01.20.07.02.02,01.20.03.04.05.01,128
01.20.07.02.02,01.20.05.01.05.01.01,11
01.20.07.11.08,01.20.99.05.02,73
01.20.07.11.08,01.20.03.04.05.01,233
01.11.03.01.02.02.99,01.11.03.01.01.99,575
01.11.03.01.02.02.99,01.11.03.01.02.02.01.08,54
01.11.03.01.02.02.99,01.11.04.01.05,7
01.11.03.01.01.99,01.11.03.01.02.02.01.08,91
01.11.01.07.01.02,01.11.02.02.06,2
01.02.10.43.05.06,01.02.10.43.05.06,62
01.20.04.04.02,01.20.07.11.03.01.02,135
01.20.04.04.02,01.20.03.04.05.02,154
01.20.04.04.02,01.20.03.04.01.02,94
01.20.04.04.02,01.20.04.04.01,75
01.20.04.04.02,01.20.04.02.12,87
01.20.04.04.02,01.20.05.03.04.02,53
01.20.04.04.02,01.20.03.04.05.01,41
01.20.04.04.02,01.20.04.06.01.02,84
01.20.04.04.02,01.20.05.03.04.01,79
01.20.04.04.02,01.20.03.04.04.01,30
01.20.03.04.05.02,01.20.04.02.12,910
01.20.03.04.05.02,01.20.07.11.03.01.02,1440
01.20.03.04.01.02,01.20.04.04.01,433
01.20.03.04.01.02,01.20.04.02.12,488
01.20.03.04.01.02,01.20.05.03.04.02,280
01.20.03.04.01.02,01.20.07.11.03.01.02,929
01.20.04.04.01,01.20.04.02.12,649
01.20.04.04.01,01.20.05.03.04.02,320
01.20.04.04.01,01.20.07.11.03.01.02,746
01.20.04.02.12,01.20.03.04.05.02,1053
01.16.04.01,01.16.03.01.01,201
01.16.04.01,01.16.07.02.01,112
01.16.04.01,01.16.07.02.02,75
01.16.04.01,01.16.05.01.01.01,167
01.16.03.01.01,01.16.07.02.01,282
01.16.03.01.01,01.16.07.02.02,228
01.20.04.01.13,01.20.04.09.01,223
01.20.04.01.13,01.20.05.03.04.03,1
01.02.10.44.14,01.02.10.44.10,1
01.02.10.44.14,01.02.10.44.11,11
01.13.05.06.02,01.13.05.06.02,392
01.20.05.03.04.02,01.20.05.03.04.02,374
01.08.01.14.03.01,01.20.09.01.08,14
01.02.05.27.99,01.02.05.27.99,1
01.13.06.99,01.13.06.99,833
01.10.05.03.01.05,01.10.05.03.01.05,734
01.20.07.12,01.20.07.10.01,4
01.20.07.12,01.20.07.12,3
01.15.04.03.02,01.15.01.01.01.02,247
01.15.04.03.02,01.15.04.07,133
01.15.04.03.02,01.15.04.02.04,395
01.15.04.03.02,01.15.01.07,221
01.15.04.03.02,01.15.03.17.06,140
01.15.04.03.02,01.15.04.03.01,222
01.15.04.03.02,01.15.04.01.01,450
01.15.01.01.01.02,01.15.04.07,224
01.15.01.01.01.02,01.15.04.02.04,989
01.15.01.01.01.02,01.15.01.07,465
01.15.01.01.01.02,01.15.03.17.06,387
01.15.01.01.01.02,01.15.04.03.01,328
01.15.04.07,01.15.04.02.04,1364
01.15.04.07,01.15.01.07,887
01.15.04.07,01.15.03.17.06,498
01.15.04.02.04,01.15.01.07,2930
01.16.04.01,01.16.04.01,499
01.20.03.04.04.01,01.20.03.04.04.02.01,209
01.20.03.04.04.01,01.20.03.04.04.01,509
01.20.03.04.04.01,01.20.03.03.06,39
01.20.03.04.04.01,01.20.06.01.06.02,19
01.20.03.04.04.01,01.20.05.03.05,3
01.20.03.04.04.01,01.20.03.04.05.02,368
01.20.03.04.04.02.01,01.20.03.04.04.01,153
01.20.03.04.04.02.01,01.20.03.03.06,15
01.20.03.04.04.02.01,01.20.06.01.06.02,11
01.20.03.04.04.02.01,01.20.05.03.05,1
01.20.03.04.04.02.01,01.20.03.04.04.02.01,111
01.20.03.03.06,01.20.06.01.06.02,110
01.02.11.01.13.02.13,01.02.11.01.13.02.13,5
01.10.06.04,01.10.06.04,11
01.15.04.01.01,01.15.05.01.06.01,1391
01.15.04.01.01,01.15.05.02.03,525
01.15.05.04.04,01.15.04.02.04,3198
01.15.05.04.04,01.15.01.07,2501
01.15.05.04.04,01.15.05.01.06.01,764
01.15.05.04.04,01.15.04.03.01,1109
01.15.05.04.04,01.15.04.01.01,4330
01.15.05.04.04,01.15.05.04.03.04,408
01.15.05.04.04,01.15.05.02.01,1396
01.15.05.04.04,01.15.03.17.06,1552
01.15.04.02.04,01.15.05.01.06.01,907
01.15.04.02.04,01.15.05.04.03.04,471
01.15.04.02.04,01.15.05.02.01,1768
01.15.01.07,01.15.05.01.06.01,999
01.15.05.01.06.01,01.15.04.03.01,230
01.15.05.01.06.01,01.15.04.01.01,1272
01.15.05.01.06.01,01.15.05.04.03.04,125
01.15.05.15,01.15.04.06,56
01.15.05.15,01.15.01.04.06,185
01.15.05.15,01.15.01.02.01.01,232
01.15.05.15,01.15.01.01.01.01,140
01.15.05.15,01.15.02.08,43
01.15.05.15,01.15.04.03.02,156
01.15.04.03.01,01.15.04.06,142
01.15.04.03.01,01.15.01.04.06,389
01.15.04.03.01,01.15.01.02.01.01,588
01.15.04.03.01,01.15.01.01.01.01,271
01.15.04.03.01,01.15.02.08,114
01.15.04.06,01.15.01.04.06,127
01.15.04.06,01.15.05.04.04,166
01.15.04.06,01.15.01.02.01.01,226
01.15.04.06,01.15.01.01.01.01,23
01.15.01.04.06,01.15.05.04.04,242
01.15.01.04.06,01.15.01.02.01.01,645
01.11.04.03.02.05.07,01.11.04.03.02.05.07,3607
01.10.04.02,01.10.04.02,1672
01.20.03.04.02.02,01.20.07.11.03.01.02,87
01.11.02.02.99,01.11.02.02.99,16179
01.13.04.99.02,01.13.06.08,9
01.15.04.02.04,01.15.01.04.06,541
01.15.04.02.04,01.20.07.11.08,118
01.07.05.02,01.07.05.02,4909
01.13.05.06.02,01.13.13.01.01,202
01.13.09.06.03,01.13.09.06.03,49
01.11.01.04.10.99,01.11.06.99,4092
01.11.01.04.10.99,01.11.06.04.01,1262
01.20.03.04.01.02,01.20.04.02.09,252
01.20.04.04.01,01.20.04.03,144
01.20.04.04.01,01.20.04.02.09,365
01.20.04.03,01.20.04.02.12,293
01.02.10.12.04.03,01.02.10.12.03,68
01.09.09.01,01.09.08.02.99,657
01.09.08.02.99,01.09.08.02.99,2164
01.10.03.01,01.10.05.03.01.03,15
01.04.01.07.01,01.04.01.07.01,659
01.10.05.03.01.04,01.10.05.03.01.05,124
01.20.09.01.08,01.20.09.03,205
01.07.05.01,01.07.05.06,685
01.07.05.01,01.07.05.07,514
01.15.05.04.04,01.15.02.08,219
01.15.02.08,01.15.07.02,3
01.15.02.08,01.15.01.01.01.02,161
01.15.04.07,01.15.05.04.06.01,426
01.15.04.07,01.15.05.10,337
01.15.04.07,01.15.04.03.01,502
01.15.04.07,01.15.05.04.04,729
01.15.04.07,01.15.01.03.01,114
01.15.04.07,01.15.05.04.03.01,555
01.15.04.07,01.15.05.15,556
01.15.04.07,01.15.04.06,130
01.15.05.04.06.01,01.15.05.10,442
01.15.05.04.06.01,01.15.04.03.01,528
01.15.05.04.06.01,01.15.05.04.04,860
01.15.05.04.06.01,01.15.01.03.01,92
01.15.05.04.06.01,01.15.05.04.03.01,998
01.15.05.04.06.01,01.15.05.15,678
01.15.05.04.06.01,01.15.03.17.06,1012
01.15.05.04.06.01,01.15.04.02.04,2023
01.15.05.10,01.15.04.03.01,425
01.15.05.10,01.15.05.04.04,642
01.15.05.10,01.15.01.07,910
01.15.05.10,01.15.01.03.01,93
01.15.05.10,01.15.05.04.03.01,572
01.15.05.10,01.15.05.15,506
01.15.05.10,01.15.03.17.06,438
01.15.05.10,01.15.04.02.04,1197
01.15.04.03.01,01.15.01.07,1499
01.15.04.03.01,01.15.01.03.01,164
01.15.04.03.01,01.15.05.15,914
01.15.05.04.04,01.15.01.03.01,323
01.15.05.04.04,01.15.05.04.03.01,1512
01.15.05.04.04,01.15.05.15,1573
01.15.01.07,01.15.01.03.01,210
01.15.01.07,01.15.05.04.03.01,1823
01.15.01.07,01.15.05.15,1108
01.15.01.03.01,01.15.05.04.03.01,51
01.15.05.03.03,01.15.05.03.04.05,1
01.15.05.03.03,01.15.05.03.01.01,10
01.15.05.03.03,01.20.11.06.02,1
01.15.05.03.03,01.15.05.03.03,45
01.15.05.03.03,01.15.05.16.01,10
01.15.05.03.03,01.15.05.03.01.05,6
01.15.05.03.04.05,01.15.05.03.01.01,2
01.15.05.03.04.05,01.20.11.06.02,1
01.15.05.03.04.05,01.15.05.03.03,1
01.15.05.03.04.05,01.15.05.16.01,13
01.15.05.03.01.01,01.15.05.03.01.01,242
01.15.05.03.01.01,01.20.11.06.02,2
01.15.05.03.01.01,01.15.05.03.03,6
01.20.03.03.05.01,01.20.03.03.05.01,58
01.15.08.01,01.15.08.01,392
01.15.08.01,01.15.05.18,164
01.15.08.01,01.15.07.04,4
01.15.08.01,01.15.04.07,115
01.15.08.01,01.15.05.15,177
01.15.08.01,01.15.05.04.03.01,255
01.15.08.01,01.15.01.07,355
01.15.08.01,01.15.05.04.04,160
01.15.08.01,01.15.05.04.08.01,74
01.15.08.01,01.15.07.02,5
01.15.08.01,01.15.05.04.02,131
01.15.08.01,01.15.05.01.06.01,99
01.15.08.01,01.15.01.01.01.02,95
01.15.05.18,01.15.05.18,554
01.15.05.18,01.15.07.04,99
01.15.05.18,01.15.04.07,395
01.15.05.18,01.15.05.15,827
01.15.05.18,01.15.05.04.03.01,619
01.15.05.18,01.15.05.04.04,889
01.15.05.18,01.15.05.04.08.01,318
01.15.05.18,01.15.07.02,137
01.15.05.18,01.15.05.04.02,580
01.15.05.18,01.15.08.01,230
01.15.05.18,01.15.05.01.06.01,353
01.15.07.04,01.15.04.07,29
01.15.07.04,01.15.05.15,40
01.15.07.04,01.15.05.04.03.01,34
01.15.07.04,01.15.01.07,24
01.15.07.04,01.15.05.04.04,50
01.15.07.04,01.15.05.04.08.01,7
01.15.07.04,01.15.07.02,14
01.15.07.04,01.15.05.04.02,20
01.15.07.04,01.15.08.01,18
01.15.04.07,01.15.05.04.08.01,204
01.15.04.07,01.15.07.02,74
01.15.04.07,01.15.05.04.02,404
01.15.05.15,01.15.05.04.03.01,543
01.15.05.15,01.15.05.04.08.01,254
